CountryCode,ManufacturingType,ManufacturingVA
ALB,Chemicals,5.475545313
ALB,"Food, Beverages & Tobacco",14.14695208
ALB,Machinery,1.152720956
ALB,Other,47.14429011
ALB,Textiles & Clothing,32.08049154
DZA,Chemicals,1.183982776
DZA,"Food, Beverages & Tobacco",7.108026625
DZA,Machinery,0.312946989
DZA,Other,90.80108418
DZA,Textiles & Clothing,0.593959425
ARG,Chemicals,11.59901909
ARG,"Food, Beverages & Tobacco",29.53982468
ARG,Machinery,11.71950442
ARG,Other,38.96263586
ARG,Textiles & Clothing,8.179015949
ARM,Chemicals,2.068464181
ARM,"Food, Beverages & Tobacco",64.33816633
ARM,Machinery,1.939427275
ARM,Other,29.97283421
ARM,Textiles & Clothing,1.68110801
AUS,Chemicals,8.985884638
AUS,"Food, Beverages & Tobacco",27.13435427
AUS,Machinery,15.95469858
AUS,Other,45.32415731
AUS,Textiles & Clothing,2.600905202
AUT,Chemicals,8.28993842
AUT,"Food, Beverages & Tobacco",10.3627276
AUT,Machinery,29.66788627
AUT,Other,49.62858422
AUT,Textiles & Clothing,2.050863488
AZE,Chemicals,3.199976168
AZE,"Food, Beverages & Tobacco",25.48191255
AZE,Machinery,9.168639967
AZE,Other,60.79655397
AZE,Textiles & Clothing,1.352917344
BHR,Chemicals,15.18814292
BHR,"Food, Beverages & Tobacco",12.48763376
BHR,Machinery,5.351820172
BHR,Other,62.01085988
BHR,Textiles & Clothing,4.961543264
BLR,Chemicals,21.00014668
BLR,"Food, Beverages & Tobacco",23.24538711
BLR,Machinery,16.98743258
BLR,Other,32.51019192
BLR,Textiles & Clothing,6.256841712
BEL,Chemicals,27.57521642
BEL,"Food, Beverages & Tobacco",15.85164778
BEL,Machinery,19.00074285
BEL,Other,34.8431772
BEL,Textiles & Clothing,2.729215744
BMU,Chemicals,4.879795183
BMU,"Food, Beverages & Tobacco",10.23251428
BMU,Machinery,13.31807234
BMU,Other,69.9113747
BMU,Textiles & Clothing,1.658243503
BOL,Chemicals,8.419686271
BOL,"Food, Beverages & Tobacco",49.39120063
BOL,Machinery,0.876570516
BOL,Other,37.76239106
BOL,Textiles & Clothing,3.550151514
BIH,Chemicals,6.799627949
BIH,"Food, Beverages & Tobacco",18.63210608
BIH,Machinery,8.44096674
BIH,Other,52.81272121
BIH,Textiles & Clothing,13.31457802
BWA,"Food, Beverages & Tobacco",24.74076261
BWA,Other,72.80067517
BWA,Textiles & Clothing,2.458562223
BRA,Chemicals,11.26609228
BRA,"Food, Beverages & Tobacco",19.87639668
BRA,Machinery,19.88737933
BRA,Other,42.35058929
BRA,Textiles & Clothing,6.619542414
BGR,Chemicals,5.733525734
BGR,"Food, Beverages & Tobacco",18.28763829
BGR,Machinery,18.82635883
BGR,Other,44.22318422
BGR,Textiles & Clothing,12.92929293
BDI,Chemicals,2.789203809
BDI,"Food, Beverages & Tobacco",87.62715093
BDI,Other,8.975091699
BDI,Textiles & Clothing,0.608553558
CAN,Chemicals,9.692689855
CAN,"Food, Beverages & Tobacco",16.69669794
CAN,Machinery,26.04411316
CAN,Other,46.29563421
CAN,Textiles & Clothing,1.270864833
CHL,Chemicals,3.388351243
CHL,"Food, Beverages & Tobacco",39.14131681
CHL,Machinery,12.08745399
CHL,Other,43.18220277
CHL,Textiles & Clothing,2.20067518
CHN,Chemicals,10.81138283
CHN,"Food, Beverages & Tobacco",11.82508276
CHN,Machinery,24.52693529
CHN,Other,42.84468278
CHN,Textiles & Clothing,9.991916343
COL,Chemicals,14.26273387
COL,"Food, Beverages & Tobacco",31.77134989
COL,Machinery,4.566853784
COL,Other,42.52170711
COL,Textiles & Clothing,6.877355354
CRI,Chemicals,7.703262408
CRI,"Food, Beverages & Tobacco",39.24445892
CRI,Machinery,9.274417943
CRI,Other,40.12364541
CRI,Textiles & Clothing,3.654215326
HRV,Chemicals,8.393490875
HRV,"Food, Beverages & Tobacco",25.44969595
HRV,Machinery,15.84078311
HRV,Other,43.15927845
HRV,Textiles & Clothing,7.15675161
CYP,Chemicals,11.82976632
CYP,"Food, Beverages & Tobacco",40.61282897
CYP,Machinery,10.87853551
CYP,Other,35.32221319
CYP,Textiles & Clothing,1.356656016
DNK,Chemicals,25.19708474
DNK,"Food, Beverages & Tobacco",14.79694153
DNK,Machinery,25.16587457
DNK,Other,33.97288901
DNK,Textiles & Clothing,0.867210144
ECU,Chemicals,6.166818953
ECU,"Food, Beverages & Tobacco",27.29116434
ECU,Machinery,2.575851066
ECU,Other,60.11338779
ECU,Textiles & Clothing,3.85277785
EGY,Chemicals,8.065692654
EGY,"Food, Beverages & Tobacco",13.11985301
EGY,Machinery,3.370605823
EGY,Other,71.03356687
EGY,Textiles & Clothing,4.410281638
ERI,Chemicals,6.743962496
ERI,"Food, Beverages & Tobacco",54.39747716
ERI,Machinery,0.838742496
ERI,Other,19.88398239
ERI,Textiles & Clothing,18.13583546
EST,Chemicals,4.594714306
EST,"Food, Beverages & Tobacco",14.53486973
EST,Machinery,18.51741418
EST,Other,56.51631325
EST,Textiles & Clothing,5.83668853
ETH,Chemicals,10.62155567
ETH,"Food, Beverages & Tobacco",36.61846267
ETH,Machinery,5.452037269
ETH,Other,37.28293805
ETH,Textiles & Clothing,10.02500634
FJI,Chemicals,5.375995012
FJI,"Food, Beverages & Tobacco",50.53842398
FJI,Machinery,1.753952028
FJI,Other,30.38440084
FJI,Textiles & Clothing,11.94722814
FIN,Chemicals,10.98302806
FIN,"Food, Beverages & Tobacco",10.19353358
FIN,Machinery,28.38684069
FIN,Other,48.80600606
FIN,Textiles & Clothing,1.630591603
FRA,Chemicals,12.43134432
FRA,"Food, Beverages & Tobacco",18.26280117
FRA,Machinery,33.28025558
FRA,Other,33.04027555
FRA,Textiles & Clothing,2.985323378
GEO,Chemicals,10.75348044
GEO,"Food, Beverages & Tobacco",50.11061884
GEO,Machinery,3.560315865
GEO,Other,33.09452002
GEO,Textiles & Clothing,2.481064843
DEU,Chemicals,10.38073862
DEU,"Food, Beverages & Tobacco",7.314861026
DEU,Machinery,43.38494654
DEU,Other,37.53470891
DEU,Textiles & Clothing,1.384744907
GHA,Chemicals,6.319854015
GHA,"Food, Beverages & Tobacco",34.5831811
GHA,Machinery,0.794739209
GHA,Other,51.90827796
GHA,Textiles & Clothing,6.393947718
GRC,Chemicals,11.47319301
GRC,"Food, Beverages & Tobacco",34.08720428
GRC,Machinery,9.280745103
GRC,Other,40.55822582
GRC,Textiles & Clothing,4.600631784
HKG,Chemicals,10.12242287
HKG,"Food, Beverages & Tobacco",30.29457094
HKG,Machinery,25.93271104
HKG,Other,28.22995725
HKG,Textiles & Clothing,5.420337899
HUN,Chemicals,10.7323571
HUN,"Food, Beverages & Tobacco",9.939640817
HUN,Machinery,43.28605121
HUN,Other,33.8534292
HUN,Textiles & Clothing,2.188521671
ISL,Chemicals,2.655523959
ISL,"Food, Beverages & Tobacco",46.98152884
ISL,Machinery,9.164138557
ISL,Other,40.0463113
ISL,Textiles & Clothing,1.152497345
IND,Chemicals,16.1408592
IND,"Food, Beverages & Tobacco",9.807163066
IND,Machinery,18.92663872
IND,Other,46.61638369
IND,Textiles & Clothing,8.50895533
IDN,Chemicals,13.40266711
IDN,"Food, Beverages & Tobacco",28.41257684
IDN,Machinery,16.71248015
IDN,Other,31.28032338
IDN,Textiles & Clothing,10.19195251
IRN,Chemicals,26.71273495
IRN,"Food, Beverages & Tobacco",11.02855389
IRN,Machinery,15.79901318
IRN,Other,43.88363902
IRN,Textiles & Clothing,2.576058963
IRQ,Chemicals,1.331053562
IRQ,"Food, Beverages & Tobacco",21.51605994
IRQ,Machinery,1.817604733
IRQ,Other,75.25718281
IRQ,Textiles & Clothing,0.078098949
IRL,Chemicals,42.6877155
IRL,"Food, Beverages & Tobacco",23.70861973
IRL,Machinery,11.74395486
IRL,Other,21.40310751
IRL,Textiles & Clothing,0.4566024
ISR,"Food, Beverages & Tobacco",12.02075037
ISR,Machinery,40.70786978
ISR,Other,45.21687887
ISR,Textiles & Clothing,2.054500973
ITA,Chemicals,8.468358695
ITA,"Food, Beverages & Tobacco",11.38425763
ITA,Machinery,29.66831787
ITA,Other,40.62768879
ITA,Textiles & Clothing,9.851377016
JPN,Chemicals,10.95370239
JPN,"Food, Beverages & Tobacco",12.37669277
JPN,Machinery,39.58436939
JPN,Other,35.5000571
JPN,Textiles & Clothing,1.585178354
JOR,Chemicals,21.53606414
JOR,"Food, Beverages & Tobacco",30.37424539
JOR,Machinery,3.204022112
JOR,Other,39.69830412
JOR,Textiles & Clothing,5.187364229
KAZ,Chemicals,6.483238476
KAZ,"Food, Beverages & Tobacco",25.05771402
KAZ,Machinery,8.92750297
KAZ,Other,58.63405908
KAZ,Textiles & Clothing,0.89748545
KEN,Chemicals,7.892408522
KEN,"Food, Beverages & Tobacco",38.6116677
KEN,Machinery,5.304852434
KEN,Other,33.46183443
KEN,Textiles & Clothing,14.72923691
KOR,Chemicals,10.35314068
KOR,"Food, Beverages & Tobacco",6.394729081
KOR,Machinery,48.62532854
KOR,Other,31.08632504
KOR,Textiles & Clothing,3.540476661
KWT,Chemicals,21.64431564
KWT,"Food, Beverages & Tobacco",6.396694248
KWT,Machinery,1.800122806
KWT,Other,67.25901391
KWT,Textiles & Clothing,2.899853393
KGZ,Chemicals,1.296138247
KGZ,"Food, Beverages & Tobacco",14.93359701
KGZ,Machinery,1.050355377
KGZ,Other,78.8811754
KGZ,Textiles & Clothing,3.838733964
LAO,Chemicals,2.266771382
LAO,"Food, Beverages & Tobacco",33.35607739
LAO,Machinery,0.917711837
LAO,Other,47.74101739
LAO,Textiles & Clothing,15.718422
LVA,Chemicals,2.250285771
LVA,"Food, Beverages & Tobacco",19.78896365
LVA,Machinery,15.17937169
LVA,Other,57.75106976
LVA,Textiles & Clothing,5.030309137
LBN,"Food, Beverages & Tobacco",32.32002779
LBN,Other,62.28652306
LBN,Textiles & Clothing,5.393449148
LTU,Chemicals,8.313579819
LTU,"Food, Beverages & Tobacco",21.19458891
LTU,Machinery,12.82015557
LTU,Other,49.07745624
LTU,Textiles & Clothing,8.594219464
LUX,Chemicals,2.968099941
LUX,"Food, Beverages & Tobacco",10.78660563
LUX,Machinery,15.28432693
LUX,Other,70.96096751
MAC,"Food, Beverages & Tobacco",30.01208967
MAC,Other,58.18609939
MAC,Textiles & Clothing,11.80181094
MYS,Chemicals,9.083637002
MYS,"Food, Beverages & Tobacco",14.08763224
MYS,Machinery,31.05558519
MYS,Other,44.03964087
MYS,Textiles & Clothing,1.733504703
MDV,Chemicals,0.041928265
MDV,"Food, Beverages & Tobacco",1.799874497
MDV,Machinery,2.591396367
MDV,Other,74.45991682
MDV,Textiles & Clothing,21.10688405
MLT,Chemicals,6.272901762
MLT,Machinery,0.355522596
MLT,Other,91.01432996
MLT,Textiles & Clothing,2.357245681
MUS,"Food, Beverages & Tobacco",39.93952851
MUS,Machinery,4.530637313
MUS,Other,21.3776161
MUS,Textiles & Clothing,34.15221808
MEX,Chemicals,10.08387767
MEX,"Food, Beverages & Tobacco",23.71174632
MEX,Machinery,27.22100892
MEX,Other,35.98797491
MEX,Textiles & Clothing,2.995392174
MDA,Chemicals,4.890033508
MDA,"Food, Beverages & Tobacco",44.0534388
MDA,Machinery,7.482201957
MDA,Other,32.10866063
MDA,Textiles & Clothing,11.4656651
MNG,Chemicals,3.159535509
MNG,"Food, Beverages & Tobacco",26.31736955
MNG,Machinery,1.418336631
MNG,Other,50.67982595
MNG,Textiles & Clothing,18.42493236
MNE,Chemicals,3.426839359
MNE,"Food, Beverages & Tobacco",41.47582239
MNE,Machinery,12.29026796
MNE,Other,40.69090426
MNE,Textiles & Clothing,2.116166031
MAR,"Food, Beverages & Tobacco",28.80187348
MAR,Other,62.90498534
MAR,Textiles & Clothing,8.293141177
NAM,Chemicals,7.348910061
NAM,"Food, Beverages & Tobacco",40.85628508
NAM,Other,46.06448245
NAM,Textiles & Clothing,5.73032241
NLD,Chemicals,15.20652107
NLD,"Food, Beverages & Tobacco",19.45607119
NLD,Machinery,30.62539157
NLD,Other,32.93533446
NLD,Textiles & Clothing,1.776681706
NZL,Chemicals,5.580561807
NZL,"Food, Beverages & Tobacco",34.79203134
NZL,Machinery,12.38226223
NZL,Other,44.70284238
NZL,Textiles & Clothing,2.542302242
NER,"Food, Beverages & Tobacco",41.84442259
NER,Other,48.54600764
NER,Textiles & Clothing,9.609569772
MKD,Chemicals,6.901683886
MKD,"Food, Beverages & Tobacco",25.95400031
MKD,Machinery,13.40532683
MKD,Other,32.61685963
MKD,Textiles & Clothing,21.12212935
NOR,Chemicals,6.540429759
NOR,"Food, Beverages & Tobacco",18.69240054
NOR,Machinery,33.74282973
NOR,Other,39.73690499
NOR,Textiles & Clothing,1.287434984
OMN,Chemicals,10.86313755
OMN,"Food, Beverages & Tobacco",4.674910133
OMN,Machinery,2.618020674
OMN,Other,81.57235933
OMN,Textiles & Clothing,0.271572307
PAN,Chemicals,4.591236777
PAN,"Food, Beverages & Tobacco",56.56240737
PAN,Machinery,2.450287682
PAN,Other,32.20522807
PAN,Textiles & Clothing,4.190840098
PER,Chemicals,7.683005177
PER,"Food, Beverages & Tobacco",25.14266279
PER,Machinery,5.79721099
PER,Other,51.29435773
PER,Textiles & Clothing,10.08276331
PHL,Chemicals,7.472426057
PHL,"Food, Beverages & Tobacco",32.23308132
PHL,Machinery,34.79359136
PHL,Other,22.40730823
PHL,Textiles & Clothing,3.093593034
POL,Chemicals,7.104337448
POL,"Food, Beverages & Tobacco",16.92065646
POL,Machinery,23.71750408
POL,Other,49.06479452
POL,Textiles & Clothing,3.19270749
PRT,Chemicals,5.924752716
PRT,"Food, Beverages & Tobacco",18.12432692
PRT,Machinery,16.39579542
PRT,Other,43.49849345
PRT,Textiles & Clothing,16.05663149
QAT,Chemicals,66.07258881
QAT,"Food, Beverages & Tobacco",0.9166404
QAT,Machinery,0.361329757
QAT,Other,31.5787567
QAT,Textiles & Clothing,1.070684331
ROU,Chemicals,5.017186908
ROU,"Food, Beverages & Tobacco",13.51984758
ROU,Machinery,30.33748193
ROU,Other,40.31553546
ROU,Textiles & Clothing,10.80994812
RUS,Chemicals,10.4515255
RUS,"Food, Beverages & Tobacco",15.26455433
RUS,Machinery,10.04887733
RUS,Other,62.48631123
RUS,Textiles & Clothing,1.748731601
SAU,Chemicals,26.57900902
SAU,"Food, Beverages & Tobacco",12.11191729
SAU,Machinery,4.602317005
SAU,Other,53.0589972
SAU,Textiles & Clothing,3.647759483
SEN,Chemicals,18.58440751
SEN,"Food, Beverages & Tobacco",34.77254834
SEN,Machinery,2.224141073
SEN,Other,43.53984
SEN,Textiles & Clothing,0.879063067
SRB,Chemicals,7.482652116
SRB,"Food, Beverages & Tobacco",25.6946297
SRB,Machinery,14.90195475
SRB,Other,44.34042507
SRB,Textiles & Clothing,7.580338361
SGP,Chemicals,23.72913721
SGP,"Food, Beverages & Tobacco",5.354895097
SGP,Machinery,55.4791586
SGP,Other,15.16221678
SGP,Textiles & Clothing,0.274592307
SVK,Chemicals,2.398651002
SVK,"Food, Beverages & Tobacco",6.600925199
SVK,Machinery,40.191751
SVK,Other,47.1961297
SVK,Textiles & Clothing,3.612543099
SVN,Chemicals,16.80990623
SVN,"Food, Beverages & Tobacco",6.84649111
SVN,Machinery,21.14775908
SVN,Other,51.70291364
SVN,Textiles & Clothing,3.492929941
ZAF,Chemicals,6.996506011
ZAF,"Food, Beverages & Tobacco",22.17929624
ZAF,Machinery,14.60321145
ZAF,Other,54.42716684
ZAF,Textiles & Clothing,1.793819453
ESP,Chemicals,12.29087142
ESP,"Food, Beverages & Tobacco",20.67960545
ESP,Machinery,24.40495955
ESP,Other,38.83146818
ESP,Textiles & Clothing,3.793095392
LKA,Chemicals,4.478506222
LKA,"Food, Beverages & Tobacco",36.06810738
LKA,Machinery,1.908196987
LKA,Other,23.37917567
LKA,Textiles & Clothing,34.16601374
SWE,Chemicals,5.156065736
SWE,"Food, Beverages & Tobacco",7.809641916
SWE,Machinery,36.89073057
SWE,Other,49.40066847
SWE,Textiles & Clothing,0.742893317
CHE,Chemicals,23.90410923
CHE,"Food, Beverages & Tobacco",8.673316233
CHE,Machinery,34.64017451
CHE,Other,31.71657601
CHE,Textiles & Clothing,1.065824014
TZA,Chemicals,4.204792837
TZA,"Food, Beverages & Tobacco",70.05128063
TZA,Machinery,2.053984578
TZA,Other,19.56622156
TZA,Textiles & Clothing,4.123720392
THA,Chemicals,7.676387797
THA,"Food, Beverages & Tobacco",19.98962039
THA,Machinery,30.25950958
THA,Other,36.06963316
THA,Textiles & Clothing,6.004849071
TUN,Chemicals,9.546872493
TUN,"Food, Beverages & Tobacco",19.66039858
TUN,Machinery,12.86936427
TUN,Other,38.7173685
TUN,Textiles & Clothing,19.20599615
TUR,Chemicals,6.940131156
TUR,"Food, Beverages & Tobacco",12.95479149
TUR,Machinery,18.19643304
TUR,Other,44.17050971
TUR,Textiles & Clothing,17.7381346
UKR,Chemicals,9.355917954
UKR,"Food, Beverages & Tobacco",31.14555923
UKR,Machinery,18.40582347
UKR,Other,39.09477801
UKR,Textiles & Clothing,1.997921344
ARE,Chemicals,22.52763954
ARE,"Food, Beverages & Tobacco",7.759915931
ARE,Machinery,12.2326151
ARE,Other,53.8070052
ARE,Textiles & Clothing,3.672824227
GBR,Chemicals,9.457930936
GBR,"Food, Beverages & Tobacco",18.31618274
GBR,Machinery,34.93434255
GBR,Other,35.24958405
GBR,Textiles & Clothing,2.041959729
USA,Chemicals,15.93083346
USA,"Food, Beverages & Tobacco",15.14402612
USA,Machinery,29.3744351
USA,Other,38.23751738
USA,Textiles & Clothing,1.313187939
URY,Chemicals,12.79042024
URY,"Food, Beverages & Tobacco",47.75626303
URY,Machinery,4.549383107
URY,Other,29.63009183
URY,Textiles & Clothing,5.273841788
VNM,Chemicals,4.890845993
VNM,"Food, Beverages & Tobacco",17.35383205
VNM,Machinery,31.36061618
VNM,Other,32.53240326
VNM,Textiles & Clothing,13.86230251
PSE,"Food, Beverages & Tobacco",36.64647897
PSE,Machinery,2.715232718
PSE,Other,54.223569
PSE,Textiles & Clothing,6.41471931
YEM,Chemicals,1.593738527
YEM,"Food, Beverages & Tobacco",53.17913287
YEM,Machinery,0.254118233
YEM,Other,38.2835565
YEM,Textiles & Clothing,6.689453866
ZMB,Chemicals,9.666461863
ZMB,"Food, Beverages & Tobacco",37.40279119
ZMB,Other,51.6624243
ZMB,Textiles & Clothing,1.268322654
ZWE,Chemicals,4.565048344
ZWE,"Food, Beverages & Tobacco",37.15216432
ZWE,Machinery,4.408443208
ZWE,Other,52.50195387
ZWE,Textiles & Clothing,1.372390265
