Country,CountryCode,Female researchers as a percentage of total researchers (FTE) - Agricultural and veterinary sciences,Female researchers as a percentage of total researchers (FTE) - Business enterprise,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,Female researchers as a percentage of total researchers (FTE) - Government,Female researchers as a percentage of total researchers (FTE) - Higher education,Female researchers as a percentage of total researchers (FTE) - Humanities and the arts,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences and engineering (sub-total),Female researchers as a percentage of total researchers (FTE) - Not specified fields,Female researchers as a percentage of total researchers (FTE) - Private non-profit,Female researchers as a percentage of total researchers (FTE) - Social sciences,Female researchers as a percentage of total researchers (FTE) - Social sciences and humanities (sub-total),Female researchers as a percentage of total researchers (HC) - 25-34 years,Female researchers as a percentage of total researchers (HC) - 35-44 years,Female researchers as a percentage of total researchers (HC) - 45-54 years,Female researchers as a percentage of total researchers (HC) - 55-64 years,Female researchers as a percentage of total researchers (HC) - 65 years and more,Female researchers as a percentage of total researchers (HC) - Under 25 years,GERD - Agricultural and veterinary sciences %,GERD - Agricultural and veterinary sciences (in 000 current PPP$),GERD - Applied research %,GERD - Applied research (in 000 current PPP$),GERD - Basic research %,GERD - Basic research (in 000 current PPP$),GERD - Engineering and technology %,GERD - Engineering and technology (in 000 current PPP$),GERD - Experimental development %,GERD - Experimental development (in 000 current PPP$),GERD - financed by Business enterprise %,GERD - financed by Government %,GERD - financed by Higher education %,GERD - financed by Not specified source %,GERD - financed by Private non-profit %,GERD - financed by Rest of the world (abroad) %,GERD - Humanities and the arts %,GERD - Humanities and the arts (in 000 current PPP$),GERD - Medical and health sciences %,GERD - Medical and health sciences (in 000 current PPP$),GERD - Natural sciences %,GERD - Natural sciences (in 000 current PPP$),GERD - Natural sciences and engineering (sub-total) %,GERD - Natural sciences and engineering (sub-total) (in 000 current PPP$),GERD - Not specified activities %,GERD - Not specified activities (in 000 current PPP$),GERD - Not specified fields %,GERD - Not specified fields (in 000 current PPP$),GERD - performed by business enterprise %,GERD - performed by business enterprise as a percentage of GDP,GERD - performed by government %,GERD - performed by government as a percentage of GDP,GERD - performed by higher education %,GERD - performed by higher education as a percentage of GDP,GERD - performed by Not specified sectors %,GERD - performed by private non-profit %,GERD - performed by private non-profit as a percentage of GDP,GERD - Social sciences %,GERD - Social sciences (in 000 current PPP$),GERD - Social sciences and humanities (sub-total) %,GERD - Social sciences and humanities (sub-total) (in 000 current PPP$),GERD per capita (in current PPP$),"GERD per researcher, FTE (in 000 current PPP$)",Other supporting staff as a percentage of total R&D personnel (HC),Researchers (FTE) - % Female,Researchers (FTE) - Agricultural and veterinary sciences %,Researchers (FTE) - Business enterprise %,Researchers (FTE) - Engineering and technology %,Researchers (FTE) - Government %,Researchers (FTE) - Higher education %,Researchers (FTE) - Humanities and the arts %,Researchers (FTE) - Medical and health sciences %,Researchers (FTE) - Natural sciences %,Researchers (FTE) - Natural sciences and engineering (sub-total) %,Researchers (FTE) - Not specified fields %,Researchers (FTE) - Not specified sectors %,Researchers (FTE) - Private non-profit %,Researchers (FTE) - Social sciences %,Researchers (FTE) - Social sciences and humanities (sub-total) %,Researchers (HC) - 25-34 years %,Researchers (HC) - 35-44 years %,Researchers (HC) - 45-54 years %,Researchers (HC) - 55-64 years %,Researchers (HC) - 65 years and more %,Researchers (HC) - Category A %,Researchers (HC) - Category B %,Researchers (HC) - Category C %,Researchers (HC) - Category D %,Researchers (HC) - Not specified age groups %,Researchers (HC) - Under 25 years %,Researchers as a percentage of total R&D personnel (HC),Researchers per million inhabitants (FTE),Technicians (FTE) - % Female,Technicians as a percentage of total R&D personnel (HC),Technicians per million inhabitants (FTE),Total R&D personnel (FTE) - % Female,Total R&D personnel per million inhabitants (FTE),Count
Africa (Northern),40603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.05761,91.31348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.41578,,,,,,1
Africa (Sub-Saharan),40606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4831,146.29519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.99913,,,,,,1
Algeria,DZA,51.77215,52.81189,41.96632,38.00699,47.39016,,60.3325,68.54228,50.20587,30.30873,,50.98683,50.98683,,,,,,,,,50.02078,1714431.769,1.49845,51358.38317,50.74077,1739108.937,3.48545,119461.7301,6.74413,93.13113,0.06892,0.0312,,0.02463,,,1.59177,54557.06182,2.00073,68573.68383,54.33327,1862239.682,44.99532,1542187.371,43.89253,1504389.845,6.70347,0.03636,50.09868,0.27175,43.19785,0.23432,,,,1.7742,60809.72796,1.7742,60809.72796,82.81001,101.06883,2.43396,46.71332,2.10743,0.45618,28.21969,7.4769,92.06692,,13.77489,4.89317,48.99518,18.81639,,,32.18844,32.18844,,,,,,5.09631,6.11599,6.62842,81.1427,,,95.77186,819.3427,37.2915,1.79418,41.86166,45.89421,919.2154,1
Angola,AGO,23.62815,,19.43005,32.7955,25.16293,18.24818,45.74468,40.38585,32.42424,,,19.69824,19.4274,28.37209,33.76963,27.16049,23.88889,26.38889,100,21.18639,13333.36425,51.63732,32497.23934,33.07113,20812.86046,2.1093,1327.46071,15.29155,9623.52585,,100,,,,,,,15.86663,9985.44723,6.848,4309.69423,46.01033,28955.96643,,,,,,,50.91548,0.01644,49.08452,0.01585,,,,53.98967,33977.65921,53.98967,33977.65921,2.18198,115.96393,14.72364,28.911,28.54247,,7.11259,49.10632,50.89368,5.04883,8.6604,28.65303,72.96849,,,,21.98268,27.03151,15.35714,27.28571,28.92857,12.85714,15.42857,,,,,,0.14286,65.02555,18.81599,55.33333,20.25081,5.20066,33.571,28.69031,1
Arab States,40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.363,187.03112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.38489,,,,,,1
Argentina,ARG,,31.87873,,54.1798,56.6168,,,,,,52.99401,,,56.47192,54.43411,54.61005,50.33433,41.94652,55.62476,8.56525,425806.185,50.754,2523144.699,26.30295,1307604.308,25.89444,1287295.914,22.94306,1140573.195,16.51611,72.63958,1.75414,,0.56539,8.52479,6.05479,301002.8717,6.45646,320971.4709,18.38776,914114.9303,59.30391,2948188.5,,,24.96925,1241301.901,24.96925,0.13521,48.15764,0.26078,25.95004,0.14052,,0.92307,0.005,9.67205,480828.9293,15.72684,781831.8011,113.14624,94.90335,10.46044,53.28357,,8.31186,,51.49571,39.55482,,,,,,,0.63761,,,29.79204,28.953,20.6383,13.6627,3.86585,,,,,,3.08811,76.00037,1192.22598,40.25641,13.53919,337.30006,49.8665,1790.12562,1
Armenia,ARM,,,,,,,,,,,,,,46.875,57.04584,55.9719,53.13589,45.5312,,2.31299,1333.25613,,,,,26.54698,15302.248,,,16.68838,68.65975,,9.09523,,5.55663,12.2658,7070.26689,3.55709,2050.38247,49.03237,28263.30433,81.44943,46949.19093,,,,,,,86.72255,0.16402,13.27745,0.02511,,,,6.28478,3622.68071,18.55057,10692.9476,19.52816,,10.1752,,,,,,,,,,,,,,,,17.9669,17.40544,12.6182,16.96217,35.04728,,,,,,,76.01078,,,3.77358,,,,1
Asia (Central and Southern),40618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.49539,137.47387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.29382,,,,,,1
Asia (Central),40612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.17132,34.02662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.25487,,,,,,1
Asia (Eastern and South-eastern),40619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.70188,251.91078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.59054,,,,,,1
Asia (Eastern),40611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.45652,264.63718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.4053,,,,,,1
Asia (South-eastern),40613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.74983,177.98676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.22267,,,,,,1
Asia (Southern),40616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37778,144.11218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.18297,,,,,,1
Asia (Western),40614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.89779,253.14373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.42587,,,,,,1
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.74212,0.98824,10.06896,0.18866,33.98161,0.63672,,3.2061,0.06007,,,,,931.02363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Austria,AUT,,16.10124,,35.82538,36.43898,,,,,,46.32911,,,,,,,,,,,32.91777,4762302.865,17.56082,2540571.295,,,47.79817,6915091.233,54.18963,29.65585,0.78345,,0.6047,15.54982,,,,,,,,,1.65138,198296.0327,,,69.87239,2.21619,7.14453,0.22661,22.43784,0.71168,,0.54516,0.01729,,,,,1751.85471,305.56979,8.19113,23.65901,,63.02109,,7.71359,28.43551,,,,,,,0.82982,,,,,,,,,,,,,,63.83784,5733.07565,20.94965,27.97103,2648.10229,24.17314,9169.99686,1
Azerbaijan,AZE,,,,,,,,,,,,,,67.17808,66.71393,63.68226,55.23844,47.47951,,7.66102,25359.96702,19.38983,64185.40325,54.84746,181559.4099,42.37288,140265.3043,6.0339,19973.77933,30.77966,68.67797,,,0.54237,,11.18644,37030.04033,9.22034,30521.73021,23.38983,77426.44797,82.64407,273573.4495,19.72881,65307.52568,,,2.44068,,85.42373,0.1579,12.13559,0.02243,,,,6.16949,20422.62831,17.35593,57452.66864,33.2705,,11.44259,,,,,,,,,,,,,,,,12.66306,19.57397,20.61477,19.20622,27.94199,,,,,,,71.42078,,,8.77645,,,,1
Bahrain,BHR,,,28.30189,63.15789,39.86637,35.71429,62.5,37.5,41.09589,38.46154,50,43.379,42.14559,,,,,,,,,30.50276,19101.66683,25.27905,15830.43581,46.16506,28909.82857,23.17053,14510.02173,21.76918,41.49056,21.22132,1.07722,2.00015,12.44158,5.20368,3258.6866,6.92749,4338.18192,3.96605,2483.64956,57.05859,35731.66005,21.04767,13180.62812,5.64191,3533.12246,20.47348,0.02071,17.86989,0.01808,61.13062,0.06184,,0.52601,,32.09582,20099.28358,37.29949,23357.97018,46.87069,127.02384,5.38373,41.58215,0.20284,0.40568,21.50101,7.70791,91.07505,8.51927,14.60446,8.11359,44.42191,2.63692,,0.81136,44.42191,52.94118,,,,,,,,,,,,89.34708,368.99126,52.17391,4.98282,17.2146,42.17082,420.63507,1
Belarus,BLR,,,,,,,,,,,,,,38.87267,42.13904,51.24269,45.96591,33.29412,35.71429,4.50807,51906.35901,,,,,71.88682,827710.9793,,,44.9881,41.83826,,,,13.17364,1.06189,12226.72741,4.11056,47329.31763,14.93535,171966.8731,95.4408,1098913.529,,,,,68.74131,0.41806,21.64877,0.13166,9.60681,0.05843,,,,3.49731,40268.30858,4.5592,52495.03599,121.80844,,28.79866,,,,,,,,,,,,,,,,25.01123,15.75489,7.68367,9.88542,19.09683,,,,,,22.56796,64.95203,,,6.24932,,,,1
Belgium,BEL,,,,36.4247,43.87735,,,,,,48.21119,,,,,,,,,,,45.90783,6972927.799,10.98728,1668854.746,,,43.1049,6547191.737,63.49233,19.95529,2.99459,,0.51308,13.04471,,,,,,,,,,,,,70.53653,1.98997,9.49579,0.26789,19.37585,0.54663,,0.59183,0.0167,,,,,1413.5028,281.39136,,,,56.25889,,8.13135,34.64926,,,,,,,0.96224,,,,,,,,,,,,,,61.13626,5023.26301,,,,,7729.28272,1
Bermuda,BMU,,,,,,,,,,,,,,38.46154,54.54545,22.22222,25,,,,,96.23399,,,,,,,,,,,,,,,,,,96.23399,7578.63009,96.23399,7578.63009,3.76601,,3.76601,199.16348,3.76601,0.00979,,,,,,96.23399,0.25019,,,,,120.79945,,32.25806,,,,,,,,,,,,,,,,35.13514,29.72973,24.32432,10.81081,,,,,,,,59.67742,,,8.06452,,,,1
Bolivia (Plurinational State of),BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97538,,,,,,,,,,,,,,,,,,,,,,,,,,,57.72387,,,19.30075,,,,1
Bosnia and Herzegovina,BIH,47.45484,42.14123,38.0661,39.92933,48.21786,58.83621,75.43655,43.49245,44.09332,20,32.6087,49.2236,52.82988,58.76543,52.33786,41.84397,34.06593,11.32075,56,5.53831,5250.99856,32.61295,30921.09211,31.51726,29882.24118,32.32291,30646.10216,23.68168,22453.14763,28.93762,40.90583,9.7845,,0.00614,20.36591,10.8142,10253.19669,3.47276,3292.60453,24.14819,22895.4595,65.48217,62085.16475,12.18812,11555.83718,13.17332,12489.93002,34.77824,0.06914,16.07061,0.03195,48.16594,0.09576,,0.9852,,10.53031,9984.02663,21.34451,20237.22332,28.5242,60.5288,8.4122,47.46553,7.77579,8.40781,31.29469,1.80669,89.19816,14.81103,5.48391,15.64734,60.20174,0.3192,,0.58733,24.66803,39.47906,20.4236,33.43419,28.44175,13.76702,2.67272,,,,,,1.26072,69.50578,471.2501,56.94034,7.11532,50.93376,49.90301,666.8923,1
Botswana,BWA,,50,,32.75862,26.82927,,,,,,35,,,,,,,,,,,,,,,,,,,17.68161,59.71002,0.9458,,,21.66258,,,,,,,,,,,,,17.68161,0.095,13.13257,0.07056,50.5703,0.2717,,18.61551,0.10002,,,,,87.63033,473.14599,36.59674,30.62827,,1.04712,,45.54974,42.93194,,,,,,,10.4712,,,,,,,,,,,,,,44.28904,185.20781,34.49612,19.11422,125.088,37.47941,588.59236,1
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.46452,49.72467,2.81081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.85517,234.27993,,,,26.61718,,3.40687,71.3977,,,,,,,0.74838,,,,,,,,,,,,,,53.566,887.67844,,49.37316,969.90222,,1560.90421,1
Brunei Darussalam,BRN,,,,,,,,,,,,,,61.11111,56.27706,33.75796,27.94118,5.88235,,10.81341,10402.90213,40.28071,38751.5288,36.42897,35046.01764,16.67284,16039.88459,16.43497,15811.04425,,97.02166,2.23705,0.5927,,0.14859,1.3234,1273.16274,26.29976,25301.34139,17.03478,16388.08404,70.82079,68132.21215,6.85535,6595.10037,12.04643,11589.10895,,,,,100,0.27764,,,,15.80938,15209.20722,17.13278,16482.36997,224.27037,,26.48456,,,,,,,,,,,,,,,,13.16271,42.23035,28.70201,12.43144,3.10786,6.39854,12.06581,58.86654,18.46435,0.36563,,64.96437,,,8.55107,,,,1
Bulgaria,BGR,53.56265,35.63464,29.45309,57.24168,51.64663,62.2102,62.30105,54.16141,43.44788,,48.42105,55.80685,58.63481,45.2946,47.36929,50.5482,48.55036,34.6382,50.17301,5.16933,57651.23043,62.3946,695859.2559,10.36694,115617.8637,56.87223,634270.625,27.23846,303778.3708,43.21012,24.33106,0.05577,,0.22059,32.18246,3.80646,42451.74956,17.04357,190079.3297,13.92242,155270.5968,93.00755,1037271.782,,,,,71.91219,0.55231,22.05816,0.16941,5.44587,0.04183,,0.58378,,3.18599,35531.95888,6.99245,77983.70845,168.00814,71.7104,,46.39592,5.39287,48.54428,39.61177,27.41965,23.52158,8.57294,14.5687,21.01497,80.58831,,,0.5145,10.83874,19.41169,23.30838,28.91135,20.87645,18.7497,4.01984,,,,,,4.13428,67.16953,2342.86988,,,,47.8918,3660.01627,1
Burkina Faso,BFA,,,,,,,,,,,,,,22.01258,17.7551,17.71562,13.0031,10,,11.13125,7260.76348,4.40144,2870.95902,62.25148,40605.21075,0.73442,479.05375,,,,93.58773,1.57372,,,4.83855,,,4.47651,2919.96954,,,16.34218,10659.78677,33.34708,21751.53875,75.77659,49428.06424,,,62.42763,0.43744,35.20283,0.24667,,2.36954,0.0166,7.88123,5140.81851,7.88123,5140.81851,13.07662,,41.24821,,,,,,,,,,,,,,,,7.7561,23.90244,20.92683,15.7561,0.4878,7.5122,12.04878,45.95122,22.43902,31.07317,0.09756,49.01961,,,9.73219,,,,1
Burundi,BDI,13.06452,,13.68421,16.66667,14.36059,14.64646,16.66667,14.58797,14.09692,,9.39597,14.87603,14.81943,14.03509,15.11628,10.07194,17.97753,20,,61.30022,10700.15644,19.76672,3450.3459,8.95785,1563.62234,4.59028,801.24867,40.56986,7081.60428,8.80793,64.76654,,,26.42553,,0.52601,91.81762,9.24122,1613.08587,15.75271,2749.6882,90.88443,15864.17918,30.70557,5359.75915,0.17332,30.25292,8.80793,0.01852,53.45333,0.1124,11.31322,0.02379,,26.42553,0.05557,8.41624,1469.08195,8.94225,1560.89958,1.56195,66.64884,6.51596,14.31844,23.67316,1.5273,7.25468,19.93127,72.85223,7.56014,4.12371,34.2879,69.33944,,,5.68919,23.10042,30.66056,9.26829,27.96748,22.60163,14.47154,4.87805,2.76423,11.86992,33.82114,51.54472,20.65041,0.1626,81.78191,23.43546,34.64674,11.70213,6.58591,20.84328,33.74384,1
Cabo Verde,CPV,36.84211,,28.57143,44.73684,50,44.44444,16.66667,75,40,,,66.66667,58.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56566,46.875,29.6875,,10.9375,59.375,40.625,14.0625,9.375,12.5,62.5,,,,23.4375,37.5,,,,,,,,,,,,77.27273,123.48752,42.85714,16.16162,40.51934,47.77778,173.65432,1
Cambodia,KHM,24.01961,19.60784,19.09385,31.84022,20.81692,35.42857,33.75887,24.56964,24.87852,,27.7847,29.91041,30.50431,24.43206,26.71312,21.78952,12.25115,8.54701,60,17.17421,11074.73838,66.21202,42696.58875,13.54382,8733.6825,27.7431,17890.05605,20.24416,13054.37368,19.44236,23.4988,0.06128,,22.06364,34.93392,4.25854,2746.10966,19.33887,12470.61283,0.68719,443.13456,64.94337,41878.54182,,,,,13.50756,0.01597,31.18972,0.03688,18.22164,0.02154,,37.08108,0.04384,30.79808,19860.05241,35.05663,22606.16207,4.15456,136.81144,26.37011,26.81504,17.31381,4.32809,19.669,49.44838,37.70951,3.71313,14.95863,13.55824,65.49968,,,8.51402,30.78718,34.50032,29.37177,32.5192,27.15599,8.22108,1.473,,,,,,1.25897,28.25623,30.36704,34.89662,45.37367,60.88483,35.46075,122.06538,1
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00335,32.87752,10.92541,,4.4512,9.85622,,,,,,,89.2209,24886821.48,,,,,51.35759,0.79727,7.03132,0.10802,41.21156,0.65361,,0.39954,0.00735,,,10.78473,3034429.568,753.15409,179.61986,,,,56.66814,,4.99087,37.94449,,,,81.84214,,,0.3965,,18.15786,,,,,,,,,,,,,4325.64492,,,1268.37307,,6238.95806,1
Central and Eastern Europe,40530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1829,114.82136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.0514,,,,,,1
Central Asia,40505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71541,33.48835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.86337,,,,,,1
Chad,TCD,5.26001,,0.8905,7.74194,4.53092,7.89793,5.47945,9.35024,4.53057,,,4.72198,6.05828,2.04082,3.65112,4.98562,8.8,,,15.43532,13594.68473,,,,,36.18929,31873.77328,,,,100,,,,,5.50649,4849.85039,16.17074,14242.3989,22.36923,19701.73412,90.16458,79412.59103,,,,,,,12.85234,0.03862,87.14766,0.26187,,,,4.32892,3812.7064,9.83542,8662.55678,6.04843,104.47823,9.69421,5.06228,14.88434,,26.97509,16.54804,83.45196,14.64413,6.49466,16.84164,65.19573,,,,20.16014,34.80427,12.06302,24.27376,51.35401,12.30921,,0.39389,1.72329,29.34515,68.53767,,,78.6272,57.89175,13.69048,11.67859,8.30675,6.99996,75.33035,1
Chile,CHL,41.59215,31.36092,21.7425,39.4394,34.42241,38.30369,45.6876,32.10444,30.44786,,41.07039,47.15592,45.011,,,,,,,15.34143,244053.6286,39.40138,626802.6668,29.53256,469808.1144,32.83864,522401.6783,21.78842,346613.2752,31.43219,47.00627,15.43813,,1.67029,4.45313,2.00036,31822.0503,11.45102,182164.355,28.1938,448510.9007,87.82489,1397130.538,9.27763,147589.8605,,,34.23609,0.1216,13.1113,0.04657,45.8327,0.16279,,6.8199,0.02422,10.17475,161861.304,12.17511,193683.3543,86.12756,174.59631,11.69381,34.75118,11.13194,28.96938,32.54369,12.76667,49.61239,3.34855,8.84014,30.16527,82.68104,,,8.65155,13.9704,17.31895,,,,,,,,,,,,57.86112,493.29542,44.03517,30.44507,303.46696,39.19367,899.81251,1
China,CHN,,,,,,,,,,,,,,,,,,,,,,11.13366,61716949.29,5.54109,30715780.35,,,83.32526,461895099.7,76.63052,20.2188,,,,0.36292,,,,,,,,,,,,,77.41528,1.69205,15.176,0.3317,7.40872,0.16193,,,,,,,,388.28052,297.05011,,,,61.25884,,19.83358,18.90758,,,,,,,,,,,,,,,,,,,,,,1307.12128,,,,,3068.99485,1
"China, Hong Kong Special Administrative Region",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,31.48766,1147896.679,,,49.08601,46.9286,0.24085,,,3.74495,4.0831,148851.2281,17.80888,649230.5032,33.61403,1225414.438,82.91057,3022541.619,,,0.27725,10107.2879,44.87284,0.38634,4.68629,0.04035,50.44128,0.43428,,,,12.72908,464044.4317,16.81218,612895.6597,561.1818,139.37338,5.1587,,,35.6007,,2.75251,61.64679,,,,,,,,,,,,,,,,,,,,,87.25602,4026.46326,,7.58528,315.80104,,4554.69747,1
"China, Macao Special Administrative Region",MAC,,21.13821,17.61838,,39.42423,49.52525,42.42577,22.94893,30.67936,,32.6087,48.76732,48.98885,43.80165,41.04478,33.04721,24.91909,18.82353,40.20619,,,,,,,13.44393,21158.57041,,,,66.65717,4.11007,28.95377,0.27899,,1.63934,2580.05644,24.2253,38126.70062,13.20177,20777.44567,50.87099,80062.7167,,,39.98277,62926.41318,3.05549,0.00622,,,95.97698,0.19532,0.17074,0.79679,,7.5069,11814.63871,9.14624,14394.69515,249.16855,70.3229,1.24085,38.07851,,5.49594,17.23043,,91.59971,11.8118,28.36663,13.99141,59.58847,,0.84897,2.05539,28.59973,40.41153,44.99662,22.65044,15.75389,10.44625,2.87356,8.31643,13.38742,19.8783,58.38404,,3.27924,94.1139,3543.20632,42.93275,4.64524,182.46268,38.86112,3781.34981,1
