Kyrgyzstan,KGZ,,,,,,,,,,,,,,44.51346,47.10983,53.28467,47.52066,39.42446,,10.26408,2543.2974,,,,,20.59859,5104.04453,,,6.42606,89.50704,0.24648,0.72183,,3.09859,15.79225,3913.10081,8.4507,2093.96699,43.38028,10749.03053,82.69366,20490.33945,,,,,29.26056,0.03133,58.82042,0.06298,11.91901,0.01276,,,,1.51408,375.16909,17.30634,4288.26989,4.00318,,8.70536,,,,,,,,,,,,,,,,14.72112,21.09113,20.87778,22.1274,21.18257,,,,,,,79.17411,,,6.07143,,,,1
Landlocked Developing Countries,40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04612,58.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.59276,,,,,,1
Latin America and the Caribbean,40520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.42026,204.54251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.39536,,,,,,1
Latin America and the Caribbean,40630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.41885,204.54159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.3908,,,,,,1
Latvia,LVA,57.08333,44.82226,37.38899,53.0648,51.94346,69.93464,66.66667,48.0315,46.44262,44.2053,,67.54617,68.61314,51.42105,57.19027,58.12325,54.18791,37.40157,45.625,11.20377,31483.06087,43.14721,121245.4448,30.89195,86807.66297,33.50254,94143.52181,25.96084,72951.04071,24.14793,43.58231,2.46555,,,29.80421,4.14068,11635.48722,9.25308,26001.54412,34.8731,97994.84771,88.83249,249622.9745,,,,,24.86574,0.15682,22.77121,0.14361,52.36305,0.33024,,,,7.02683,19745.68672,11.16751,31381.17394,193.37753,107.90528,,50.80414,6.89259,19.79167,32.33774,16.55093,63.65741,8.78805,8.27111,32.82596,80.3274,16.71741,,,10.88455,19.6726,23.93249,22.77365,17.98715,17.29437,15.99698,,,,,,2.01537,66.44824,1792.10447,,,,53.71885,3010.69403,1
Least Developed Countries,40334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79028,81.99682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.61594,,,,,,1
Lesotho,LSO,57.95796,,14.69451,55.6196,31.88854,,,41.95071,40.18499,,,40,40,31.57895,39.47368,41.46341,29.41176,,,12.84882,388.45592,51.19534,1547.77843,31.37442,948.5366,3.80656,115.083,17.43024,526.96478,0.78134,91.0571,,,0.33858,7.82299,,,,,83.34461,2519.74088,100,3023.27981,,,,,,,12.84882,0.00616,87.15118,0.04179,,,,,,,,1.46831,60.89184,12.94118,40.18127,33.53474,,26.0423,34.94461,65.05539,,,38.40886,97.9859,,,,2.0141,2.0141,16.10169,32.20339,34.74576,14.40678,0.84746,,,,,,1.69492,69.41176,24.1134,47.55245,17.64706,6.94505,40.32145,34.74952,1
Lithuania,LTU,,32.38058,,45.81525,53.9235,,,,,,,,,45.16681,52.48694,57.12251,48.92562,37.9108,35.86957,3.69432,31204.55318,42.01755,354906.6508,26.45801,223481.0445,23.60559,199387.6875,31.52444,266275.2871,35.42066,36.35941,3.65077,,0.14357,24.42558,6.44777,54461.95448,6.11392,51641.99736,14.27452,120571.5579,47.68834,402805.796,,,36.80702,310895.2568,41.82817,0.39526,22.23896,0.21015,35.93287,0.33955,,,,9.05686,76499.97511,15.50464,130961.9296,332.58123,104.23449,,46.13889,3.07745,31.68494,14.71228,17.72209,50.58179,10.78824,5.96042,21.34767,45.09781,29.21862,,,14.89532,25.68356,31.1451,27.53237,18.70304,16.11872,4.53988,,,,,,1.96089,78.9425,3190.70248,,,,47.007,4268.07327,1
Low income countries,40044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76971,37.50785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.82677,,,,,,1
Lower middle income countries,40042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8522,117.68078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.1686,,,,,,1
Luxembourg,LUX,100,16.39216,15.63218,37.4183,34.82824,48.61111,56.97674,34.84321,29.0146,16.39216,,49.28571,49.11348,,,,,,,,,37.92147,317238.8496,36.58943,306095.4433,,,25.47523,213117.6465,49.5768,43.06924,1.37366,,0.26363,5.70279,,,,,,,,,,,,,55.81523,0.68966,23.82458,0.29438,20.36019,0.25157,,,,,,,,1380.72599,279.40281,13.9294,27.31608,0.03406,43.90489,14.81608,20.69658,35.39853,4.90463,2.92916,19.55041,37.3297,43.42643,,,14.30518,19.20981,,,,,,,,,,,,51.63361,4941.70411,18.62327,34.4224,3166.02186,25.82507,9307.48289,1
Madagascar,MDG,36.47059,,26.00897,37.5,31.91882,45.94595,38.46154,33.98058,32.23022,,,37.30159,40.5,38.17204,34.11765,37.23197,29.80769,26.82927,,2.1019,118.66732,,,,,23.1209,1305.34049,,,,,,,,,,,13.66235,771.33756,27.3247,1542.67513,66.20985,3738.0205,,,21.17875,1195.69189,,,100,0.01465,,,,,,12.6114,712.0039,12.6114,712.0039,0.22856,7.46408,52.95896,34.11633,9.49721,,24.9162,39.3736,60.6264,8.26816,8.71508,34.52514,77.65363,,,,14.07821,22.34637,8.28139,22.70703,22.84061,27.78272,14.60374,14.69279,39.53695,27.96082,14.02493,3.78451,,35.73019,34.04118,45.31722,11.31085,12.60361,44.37846,96.18345,1
Malaysia,MYS,50.91801,35.98612,47.20475,50.03076,54.54996,50.28212,50.45351,47.43295,48.20429,,73.80952,50.26324,50.26552,,,,,,,4.41381,548419.8134,56.48093,7017799.413,28.91648,3592894.494,24.23977,3011812.578,14.60259,1814383.652,56.85697,28.7705,12.7882,0.68137,,0.90296,1.68274,209082.4193,8.15814,1013656.299,51.63921,6416216.741,88.45036,10990035.17,,,,,56.57834,0.81283,9.19708,0.13213,34.15944,0.49075,,0.06536,,9.86633,1225900.247,11.54964,1435052.922,404.92824,168.96369,15.45629,50.1829,9.04334,21.93998,32.76809,6.63204,71.37087,2.04716,13.0901,27.52471,82.42624,,,0.05711,15.52661,17.57377,,,,,,,,,,,,74.48676,2396.53998,30.2929,10.05695,263.25211,48.23365,2906.28664,1
Mali,MLI,9.04894,8.73431,6.16776,17.12797,,3.44037,37.5422,18.65672,17.99787,8.73431,18.29485,14.6771,13.59416,,,,,,,63.94725,76735.75981,65.22667,78271.05202,24.10431,28924.81511,2.99172,3590.01573,10.66902,12802.66467,0.8253,45.99049,0.09488,,2.97719,50.20702,12.88767,15465.00897,11.75116,14101.21774,2.78523,3342.23094,81.47535,97769.22423,,,,,,,54.11587,0.15789,0.66216,,,45.22197,0.13194,5.63698,6764.29882,18.52465,22229.30778,6.48205,197.25894,29.55524,14.32611,22.36167,31.43031,3.98473,57.72854,1.58631,1.42874,12.13278,15.36873,53.84792,31.32731,,9.25485,13.39603,14.82477,,,,,,,,,,,,34.48111,32.86062,19.81921,35.96365,23.78294,19.95066,78.39489,1
Malta,MLT,16.66667,25.58559,25.29412,13.33333,35.98901,30.50847,50,20.14134,27.15232,,,43.33333,39.10615,,,,,,,0.9116,1032.97076,32.62498,36968.66582,52.10684,59044.33386,45.73929,51829.00729,15.26817,17300.97123,56.36149,31.28109,1.31204,,0.28364,10.76022,5.12529,5807.66757,15.96439,18089.87902,21.98459,24911.61107,84.59987,95863.46814,,,,,60.89389,0.34991,1.28687,0.00739,37.81925,0.21732,,,,10.27636,11644.55395,15.40165,17452.22152,269.25803,138.32872,19.12061,29.47481,1.28617,52.8655,36.44159,1.87135,45.38012,6.32369,12.86174,30.33226,80.92176,,,,12.86174,19.18542,,,,,,,,,,,,62.36386,1946.50858,20.87629,18.51553,885.98028,30.22049,3285.16009,1
Mauritania,MRT,,,,,,,,,,,,,,29.58843,18.429,7.11111,3.94737,16.66667,46.15385,0.29438,7.70696,2.70091,70.71136,95.90079,2510.73503,2.40654,63.0044,,,,92.78775,,,7.21225,,25.83898,676.47845,3.42214,89.59341,19.58346,512.70554,25.70651,673.01032,1.39829,36.60806,1.39829,36.60806,,,,,100,0.01419,,,,47.05623,1231.95762,72.8952,1908.43607,0.59456,,0.18559,,,,,,,,,,,,,,,,39.72603,14.6266,19.88511,10.07512,0.26513,9.14715,13.61025,6.18648,69.81882,4.50729,10.91471,99.16486,,,0.64955,,,,1
Mauritius,MUS,51.41106,30.68298,20.77626,46.66432,47.32987,79.14692,57.92079,36.84951,42.14599,49.19628,,51.00671,55.74163,56.09756,51.04603,37.14286,25.97403,,60,29.33828,30450.0382,36.09156,37459.14877,7.92376,8224.00547,8.95966,9299.18491,5.90263,6126.29379,4.09675,79.44818,4.41502,11.00874,,1.0313,,,2.43502,2527.29598,12.93014,13420.12106,53.66311,55696.64016,50.08205,51979.77502,24.79382,25733.36787,6.29734,0.02179,79.30099,0.27436,14.40167,0.04983,,,,21.54306,22359.42333,21.54306,22359.42333,81.90564,172.85044,27.20729,46.37785,21.25024,4.39647,7.29442,33.07636,62.52717,1.75699,3.36409,17.76141,49.67017,39.88782,,,8.68502,10.44201,9.72332,18.89328,13.83399,6.08696,0.1581,,,,,50.90909,0.39526,60.70058,473.85267,35.16477,12.09213,130.27301,37.16557,899.55216,1
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,29.95518,2347295.54,30.51599,2391241.046,,,39.52882,3097488.7,18.5761,76.84504,2.82984,,0.83749,0.91153,,,,,,,80.58871,6314951.497,,,,,22.11045,0.06904,26.18706,0.08176,50.55594,0.15785,,1.14656,,,,19.41129,1521073.789,62.09665,231.15892,14.11155,,,37.29076,,17.15412,43.74168,,,,,,,1.81344,,,,,,,,,,,,,,60.61205,315.2625,,25.27639,140.29751,,533.70389,1
Middle income countries,40030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.67294,203.97152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.96159,,,,,,1
Mongolia,MNG,,,,,,,,,,,,,,52.49501,52.6936,49.2891,40.33333,,43.24324,12.95443,5806.004,35.12668,15743.3151,42.19998,18913.47532,31.98269,14334.21963,19.61362,8790.56811,8.09059,80.94456,7.10169,0.35943,,3.50373,0.26882,120.48179,7.56443,3390.27639,28.24397,12658.57511,80.74551,36189.07513,3.05972,1371.32646,,,8.55816,0.00881,60.18678,0.06195,31.25506,0.03217,,,,18.98567,8509.12806,19.25449,8629.60985,14.13742,,29.44481,,,,,,,,,,,,,,,,26.13459,30.98592,22.01356,15.64945,1.35629,9.44184,9.494,9.59833,63.11946,,3.8602,63.35096,,,7.20423,,,,1
Montenegro,MNE,61.11111,31.81818,38.83495,59,45.90747,50.76923,66.66667,50.5618,48.99598,,31.25,41.73228,44.79167,54.48029,57.54527,50.56948,36.51452,15.51724,35.71429,4.4997,1891.34824,59.69473,25094.68862,27.55449,11583.45721,29.13139,12244.72859,12.75745,5363.023,18.71626,64.12717,6.87862,,,10.27794,17.71215,7444.90706,12.07919,5077.21927,18.73875,7876.41466,64.44904,27089.71076,,,,,14.46911,0.05319,44.29068,0.16282,38.98475,0.14332,,2.25546,0.00829,17.83881,7498.14501,35.55096,14943.05208,74.68779,101.71295,10.74306,47.16553,4.08163,11.06291,23.35601,29.28416,55.96529,14.73923,8.84354,20.18141,56.46259,,,3.68764,28.79819,43.53741,18.25916,32.52618,28.73037,15.77225,3.79581,,,,,43.54473,0.91623,68.39749,734.29976,57.14286,20.85944,156.15962,51.39116,1119.76732,1
Morocco,MAR,26.6289,,,26.3503,36.93095,,53.4964,,40.60998,,,31.50399,31.50399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68046,36.63709,0.9361,6.98233,,2.58842,90.42925,,9.21519,,52.42979,6.98233,,,40.58926,40.58926,,,,,,,,,,,,94.65041,1073.54029,15.34653,2.66913,40.25476,35.37017,1154.22062,1
Mozambique,MOZ,25.55155,49.85673,24.38008,40.96662,25.35853,,53.55006,26.96441,30.96668,,37.53582,25.2423,25.2423,28.02691,29.92327,29.3279,27.61194,26.31579,29.31034,34.50094,38952.20932,50.96597,57541.53314,27.13675,30637.8968,4.26348,4813.54936,21.89728,24722.44378,0.47172,43.4901,13.32025,2.83531,,39.88262,0.00951,10.74201,28.57894,32266.15874,11.41185,12884.18797,78.75521,88916.10539,,,4.11826,4649.59243,0.47172,,43.02239,0.1452,37.43941,0.12636,,19.06648,0.06435,17.11702,19325.4339,17.12653,19336.1759,4.17506,97.17255,18.32707,28.91804,22.19784,0.30038,8.26082,22.09972,77.29953,,11.64932,22.10402,64.212,,,0.30038,35.788,35.788,36.64749,32.12818,20.17256,5.50534,0.78061,1.76664,6.61463,5.62859,41.04355,,4.76582,57.18985,42.96538,29.99917,24.48308,26.74062,30.02017,85.79394,1
Myanmar,MMR,75.54517,,76.1194,71.2406,82.9918,66.66667,72,72.72727,75.11769,,,70.96774,70.76923,87.18354,67.09091,74.20814,60.91954,,67.46032,32.60575,34225.5112,29.45772,30921.08824,32.98894,34627.73163,32.8026,34432.14031,34.57224,36289.68588,,77.40023,,,0.0151,22.5222,,,29.97105,31459.92242,4.22394,4433.77228,99.60335,104551.3462,2.98111,3129.19875,,,,,78.75991,0.02509,21.24009,0.00677,,,,0.39665,416.35829,0.39665,416.35829,1.96633,67.63383,15.98446,74.93557,41.36598,,34.53608,68.5567,31.4433,0.1933,6.4433,13.46649,95.81186,,,,3.99485,4.18814,39.10891,34.03465,13.67574,5.38366,,12.87129,28.2797,33.2302,20.23515,,7.79703,48.28204,29.07319,74.7495,29.96713,18.69526,72.88351,58.85821,1
Namibia,NAM,41.73228,44.49153,19.19192,39.00446,37.47002,28.57143,55.08475,28.49003,34.06824,28.98551,43.24324,47.74704,47.4339,46.98795,40.58577,32.1267,37.93103,18.18182,58.33333,31.74057,25999.7705,48.67498,39871.31834,19.4576,15938.37879,13.61599,11153.31426,26.57815,21771.05579,11.09774,63.21802,6.00423,,3.87046,15.80955,5.10998,4185.75365,1.94138,1590.25055,24.58311,20136.85059,71.88105,58880.1859,5.28926,4332.61463,3.66274,3000.27544,11.42271,0.03883,45.91879,0.1561,35.00985,0.11902,,7.64865,0.026,19.34623,15847.15257,24.45621,20032.90622,36.03085,241.06347,11.30742,38.81695,18.68746,6.94526,2.91348,39.61154,49.0877,0.61801,3.47263,30.98882,56.06239,6.09182,,4.3555,37.22778,37.84579,22.16288,31.90921,29.50601,11.61549,2.93725,,,,,0.26702,1.60214,66.16608,149.46625,34.33134,22.5265,66.11176,39.94273,245.79676,1
Netherlands,NLD,37.83655,19.23452,15.04275,37.39436,40.62665,47.58551,45.48992,21.42857,24.09418,,,48.08751,47.94402,,,,,,,8.28665,1534368.98,43.9131,8131017.149,26.04864,4823206.034,40.85258,7564325.226,30.03826,5561929.434,51.63274,31.37724,0.21861,,2.45935,14.31206,3.35428,621084.2284,16.64845,3082652.27,21.9019,4055389.076,87.68958,16236735.55,,,,,67.05198,1.45083,5.78092,0.12508,27.1671,0.58783,,,,8.94931,1657067.901,12.30359,2278152.129,1231.06212,219.65441,,27.08356,7.59013,70.01914,41.19514,6.13319,23.84663,3.58469,15.44592,23.22478,87.45597,,,,8.95693,12.54162,,,,,,,,,,,,60.31923,5604.5408,,,,28.58375,9225.85342,1
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,39.95891,1057924.062,25.0642,663582.188,,,34.95121,925343.6044,46.40473,35.79866,7.55008,,2.54237,7.70416,,,,,,,,,,,,,55.21315,0.75405,20.13354,0.27496,24.65331,0.33669,,,,,,,,563.06053,101.82807,15.625,,,31.15385,,6.92308,61.53846,,,,,,,,,,,,,,,,,,,,,68.75,5529.5219,,15.15625,1276.04352,,7656.2611,1
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Niger,NER,4.57143,,7.21154,26.72176,8.72766,38.46154,26.01626,15.0312,13.49141,11.11111,12.65823,55.6962,49.87427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36444,22.31979,17.86808,,8.495,74.12702,19.42005,8.22953,12.55871,36.00163,74.92342,0.73514,,6.45293,16.13233,24.36185,,,,,,,,,,,,51.8285,26.46415,27.57306,20.80706,8.50614,19.98899,49.06973,1
North America and Western Europe,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.29124,295.86631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4313.74311,,,,,,1
North Macedonia,MKD,50.25853,63.86739,42.7763,62.97999,51.85648,57.17173,71.24629,64.94481,57.35998,,60.67911,50.4644,53.64382,56.41548,55.94679,53.25248,47.48428,34.65347,74.5098,5.33827,6620.76832,63.10643,78267.49268,23.43763,29068.42396,23.80794,29527.69784,13.45594,16688.67089,30.05326,45.24424,20.21719,,0.19972,4.2856,9.47824,11755.34702,16.52243,20491.87139,28.1185,34873.85215,73.78713,91514.1897,,,,,30.56919,0.11127,9.81942,0.03574,58.00533,0.21113,,1.60606,0.00585,16.73463,20755.05081,26.21287,32510.39783,59.54256,74.49595,6.69752,56.19485,8.7125,24.1325,20.59225,11.10611,62.44406,14.862,10.12103,29.22125,68.64703,,,2.31733,16.49098,31.35297,14.17436,36.89376,26.1836,18.36028,2.9157,2.30947,70.35219,27.33834,,,1.47229,84.36434,799.27238,53.13768,8.93814,91.11566,55.09383,957.84983,1
Northern America,40640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.99712,371.18177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.89042,,,,,,1
Northern America and Europe,40642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.60989,261.55267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3707.13049,,,,,,1
Norway,NOR,,,,,48.73983,,,,,,,,,,,,,,,,,37.67302,2587880.389,18.03438,1238839.094,,,44.29275,3042610.32,42.82586,46.67212,0.44206,,1.21559,8.84423,,,,,,,85.45436,5870132.758,,,,,51.89937,1.07424,13.66456,0.28284,34.43606,0.71278,,,,,,14.54568,999189.4984,1351.78862,209.03839,,,,48.86584,,13.32599,37.80816,,,,81.01865,,,,,18.98135,,,,,,,,,,,,68.1769,6466.70021,,,,,8776.00852,1
Oceania,40650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.09207,191.19144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332.2207,,,,,,1
Oceania (Australia/New Zealand),40651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.01105,193.59349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4602.48458,,,,,,1
Oman,OMN,2.50276,39.5881,13.01649,28.28152,31.79859,28.70851,66.30366,25.55488,29.24363,,,32.63148,31.13283,60.10101,34.21218,25.18757,23.4192,16.0221,14.28571,22.16123,97390.48508,39.53107,173724.5519,51.9138,228142.1278,39.64501,174225.2798,8.55513,37596.66097,31.79342,43.29038,19.14899,,4.2654,1.50181,7.78481,34211.37662,9.77665,42964.77119,10.14959,44603.73515,81.73248,359184.2713,,,,,31.11601,0.06833,41.72139,0.09163,27.06527,0.05944,,0.09733,,10.48272,46067.69244,18.26752,80279.06906,90.99613,323.64407,13.55768,29.86832,29.30788,0.32183,5.76127,55.59557,44.0826,12.61986,24.41268,7.46837,66.94946,,,,20.42994,33.05054,23.96514,38.56209,22.58533,10.33648,4.38151,6.92326,26.09538,31.29993,35.68143,,0.16945,66.83385,281.16111,33.63578,10.54845,32.77024,27.82875,395.82373,1
Pakistan,PAK,20.44099,,21.10438,14.98638,39.36653,47.46209,46.06009,44.08795,34.82064,43.67874,,39.55705,41.84735,,,,,,,,,,,,,,,,,,61.84907,35.05889,1.43393,0.32328,1.33484,,,,,,,,,,,,,,,36.52269,0.08618,63.47731,0.14979,,,,,,,,12.38593,36.90895,25.73873,37.57111,11.10259,,14.41623,7.36427,92.63573,9.03607,7.43221,29.55053,62.50156,6.31023,,,22.15215,31.18822,,,,,,,,,,,,68.50596,335.58065,4.14007,5.7553,31.79799,27.46327,487.89933,1
Palestine,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75772,29.35605,4.56611,21.0742,17.06992,24.17599,,,,,,,,,,,,,,,56.12802,0.27626,22.98925,0.11315,,20.88273,0.10278,,,,,,,24.24834,,,,,29.46133,55.78493,,,,,,,14.75374,,,,,,,,,,,,,,52.01974,575.10944,,14.6431,178.0999,,1190.86711,1
Panama,PAN,,,,,,,,,,,,,,,,,,,,25.3195,37403.17382,46.12721,22082.479,32.65548,15633.15686,5.13381,7583.90496,21.20141,10149.75287,1.54014,55.67449,,0.05461,8.01748,34.71327,,,0.19661,290.44742,41.91152,61913.70921,72.56144,107191.2354,0.0159,7.61231,,,0.65538,,27.7444,0.04078,12.27744,0.01805,,59.32277,0.0872,27.43856,40533.55161,27.43856,40533.55161,35.97105,319.15334,35.86109,49.33333,,,,,,,,,,,,,,,,,,,,,,,,,,44.08221,39.10899,50.08403,20.0567,155.13234,45.67063,307.13596,1
Papua New Guinea,PNG,10.9215,,28.57143,27.97619,32.39981,50.84746,42.0354,24.22611,23.58491,32.39981,18.18182,57.14286,55.27638,27.09677,37.86408,34.11215,32,,38.88889,31.8116,3497.92847,44.4708,4889.90379,38.09606,4188.95322,0.61044,67.12229,17.43314,1916.90699,4.46825,38.68974,7.60283,8.76844,0.75456,39.71618,11.91747,1310.41688,9.19385,1010.93355,30.87802,3395.27385,72.4939,7971.25815,,,,,,,61.09322,0.0193,27.62053,0.00872,,11.28625,,15.58863,1714.08896,27.5061,3024.50584,1.32931,37.45789,20.70485,28.80259,24.95316,,4.7692,57.23045,35.27508,2.00988,15.39772,12.65542,57.77551,35.27508,,7.49446,4.7692,6.77908,19.52141,25.94458,26.95214,15.74307,,,,,,9.57179,2.267,69.95595,35.48821,33.70787,8.98678,10.7595,33.1702,71.63528,1
Paraguay,PRY,40.65115,,22.87155,49.01452,48.17152,38.2387,78.733,50.93629,48.6508,,50.0671,48.80079,47.86363,51.92744,49.31034,48.97959,50.58366,30.37975,83.33333,25.72341,34102.62597,73.44291,97366.41614,15.70328,20818.50693,15.82455,20979.2773,10.85381,14389.35436,0.22576,77.38906,3.86494,4.26272,2.76287,11.49465,3.0044,3983.05743,20.07194,26610.231,16.97119,22499.42697,78.59108,104191.5613,,,,,,,35.66388,0.05308,40.43492,0.06018,,23.90121,0.03557,18.40452,24399.66282,21.40892,28382.72025,19.30583,142.86022,19.81344,48.46242,21.34788,,16.74928,17.51841,58.4788,2.26383,18.68333,17.73101,74.5115,,1.91407,22.08872,23.25027,25.51409,24.71973,32.51121,21.97309,14.40583,4.42825,4.42825,22.30942,60.53812,9.86547,1.62556,0.33632,57.38179,135.13787,52.20019,22.80476,40.24138,50.75536,218.71511,1
Peru,PER,,,,,,,,,,,,,,24.28571,30.97239,26.30745,30.16453,26.66667,33.33333,9.74148,44976.28488,38.59803,178207.4039,15.24127,70369.07744,16.57326,76518.53843,4.24154,19583.2312,,,,,,,2.2066,10187.84964,7.14407,32984.10159,23.41286,108096.8904,56.87167,262575.8153,41.91916,193541.074,26.82928,123870.4651,,,30.45427,0.03565,34.22924,0.04006,26.94651,8.36998,0.0098,14.09286,65066.59121,16.29947,75254.44085,18.28509,,15.47707,,,,,,,,,,,,,,,,8.41346,33.3734,25.28045,21.91506,10.81731,,,,,0.08013,0.12019,62.38905,,,22.09689,,,,1
Philippines,PHL,52.87439,43.48982,43.40499,53.81003,54.60827,57.89852,62.6684,52.67563,47.68426,56.87312,58.47442,50.70703,51.59492,,,,,,,17.58993,215633.5103,24.07318,295111.2235,20.62615,252854.3334,43.48201,533042.5477,13.37947,164017.8334,37.96389,49.43561,9.93436,0.43276,0.43406,1.79932,0.42991,5270.23906,9.2691,113629.201,14.00936,171739.6105,84.3504,1034044.87,41.92121,513908.8685,3.66719,44955.82226,36.88216,0.06054,24.2495,0.03981,36.74071,0.06031,,2.12763,,11.5525,141621.217,11.98241,146891.456,12.00523,113.59895,10.18392,48.80473,13.97652,51.8172,45.60935,17.14559,28.59053,2.79666,4.67552,10.53333,74.79473,2.55353,,2.44667,19.85508,22.65174,,,,,,,,,,,,80.88808,105.68078,41.66751,8.928,17.53814,47.60773,141.26789,1
Poland,POL,52.91134,23.47304,20.09657,52.29953,45.68505,50.22177,60.04252,34.1747,31.66572,,48.99882,50.39423,50.32061,34.45884,39.41841,40.12736,35.13082,24.11425,24.92564,4.62716,544053.6626,17.59312,2068569.502,29.01815,3411905.531,52.27883,6146857.922,53.38825,6277300.529,52.54124,38.28122,2.96086,,0.2629,5.9533,3.81612,448692.8599,11.7856,1385731.304,21.61722,2541716.78,90.30882,10618359.67,,,,,66.09084,0.8012,1.94396,0.02357,31.66627,0.38388,,0.29893,,5.87555,690837.3067,9.69167,1139530.167,380.53415,122.51111,6.92778,35.44792,4.64633,48.15985,43.01785,2.64031,48.43322,8.65733,12.314,19.74255,79.72073,,,0.76663,11.62194,20.27927,23.16915,24.9078,13.37112,8.99071,5.81304,,,,,,1.7892,78.52835,3106.1196,35.20716,10.18167,415.27482,36.78896,4271.78796,1
